t, x, y
0, 200, 200
10, 199.7698412698413, 201.80158730158735
20, 198.65404040404044, 202.38383838383837
30, 198.4005037783377, 202.544080604534
40, 198.29471032745573, 202.32745591939553
50, 198.02272727272702, 202.10353535353542
60, 197.5703517587941, 202.27638190954784
70, 196.90176322418154, 202.1586901763224
80, 195.82531645569628, 202.36202531645574
90, 194.92443324937008, 202.77078085642316
100, 194.3232323232325, 203.16161616161617
110, 193.4987405541563, 203.38790931989934
120, 192.64646464646455, 203.7727272727271
130, 192.08585858585866, 203.93181818181816
140, 192.13383838383828, 203.91666666666663
150, 192.0806045340051, 204.06801007556672
160, 191.78787878787875, 204.52272727272742
170, 191.7323232323233, 204.91666666666683
180, 191.75252525252515, 204.7348484848486
190, 191.37783375314868, 204.80100755667496
200, 190.89672544080614, 204.49118387909314
210, 190.853164556962, 204.68607594936717
220, 190.40656565656542, 204.40151515151513
230, 190.18181818181804, 204.55303030303037
240, 189.33501259445836, 204.4811083123427
250, 189.04545454545442, 204.54292929292924
260, 188.55808080808075, 204.8964646464647
270, 187.5530303030302, 204.41666666666677
280, 186.43216080402007, 204.11055276381904
290, 185.76010101010112, 203.93434343434345
300, 185.67002518891678, 203.5062972292192
310, 185.34090909090912, 203.42929292929284
320, 185.030226700252, 203.0000000000001
330, 184.57575757575754, 202.5580808080807
340, 184.49494949494942, 202.18434343434342
350, 184.02525252525257, 201.77777777777786
360, 183.93924050632907, 201.6911392405063
370, 183.59697732997472, 201.433249370277
380, 183.46733668341705, 201.37939698492463
390, 183.15151515151527, 201.55050505050505
400, 182.4444444444446, 202.46464646464653
410, 181.4659949622166, 203.11586901763235
420, 180.71032745591936, 203.96221662468534
430, 180.28282828282826, 204.81818181818198
440, 179.87657430730474, 205.65239294710315
450, 179.4267676767676, 206.4747474747475
460, 178.71536523929473, 207.14357682619647
470, 178.23425692695218, 207.90428211586897
480, 178.05555555555554, 208.3484848484848
490, 177.639798488665, 208.79093198992462
500, 177.0835443037975, 209.5164556962025
510, 176.5642317380351, 210.13853904282124
520, 176.11586901763238, 210.6221662468514
530, 176.06060606060615, 211.34848484848482
540, 175.97229219143563, 212.08564231738043
550, 175.79648241206039, 212.7010050251256
560, 175.48737373737362, 213.38888888888877
570, 175.36111111111117, 213.86111111111123
580, 174.77525252525248, 214.14646464646455
590, 174.38790931989922, 214.71536523929467
600, 173.46212121212125, 214.99747474747485
610, 172.41161616161628, 215.3989898989898
620, 171.1939546599496, 215.6952141057934
630, 169.44696969696957, 216.44949494949495
640, 168.3383838383838, 217.25252525252532
650, 167.79292929292936, 217.5555555555556
660, 167.090909090909, 217.83080808080803
670, 166.46212121212116, 217.53787878787892
680, 165.98737373737362, 217.4494949494949
690, 165.4999999999999, 217.7323232323233
